#log r ["]    log SD       log SSD       log ESD       a/A      Source
-0.220       0.55         0.554         0.0792        1        1
0.120        0.46         0.462         0.0312        1        1
0.330        0.48         0.478         0.0504        1        1
0.520        0.37         0.366         0.0332        1        1
0.730        0.19         0.194         0.0280        1        1
1.010        -0.10        -0.098        0.0232        1        1
1.170        -0.22        -0.222        0.0200        1        1
1.300        -0.19        -0.186        0.0236        1        1
1.400        -0.37        -0.374        0.0268        1        1
1.480        -0.45        -0.450        0.0204        1        1
1.550        -0.48        -0.482        0.0196        1        1
1.600        -0.54        -0.538        0.0168        1        1
1.650        -0.55        -0.554        0.0172        1        1
1.700        -0.64        -0.638        0.0140        1        1
1.740        -0.67        -0.670        0.0152        1        1
1.780        -0.71        -0.710        0.0164        1        1
1.810        -0.77        -0.770        0.0144        1        1
1.850        -0.85        -0.850        0.0172        1        1
1.824        -0.78        -0.782        0.2440        1        2
1.871        -0.85        -0.846        0.0760        1        2
1.901        -0.89        -0.886        0.0440        1        2
1.958        -0.97        -0.970        0.0560        1        2
1.998        -1.03        -1.030        0.0720        1        2
2.045        -1.10        -1.102        0.3320        1        2
2.076        -1.15        -1.154        0.1160        1        2
2.109        -1.21        -1.210        0.1080        1        2
2.162        -1.30        -1.302        0.0680        1        2
2.233        -1.43        -1.434        0.0720        1        2
2.269        -1.50        -1.502        0.0960        1        2
2.319        -1.60        -1.602        0.1440        1        2
2.358        -1.68        -1.682        0.0840        1        2
2.392        -1.75        -1.754        0.0480        1        2
2.434        -1.85        -1.846        0.1480        1        2
2.507        -2.01        -2.010        0.1360        1        2
2.540        -2.09        -2.090        0.0200        1        2
2.578        -2.18        -2.182        0.0880        1        2
2.632        -2.32        -2.318        0.0720        1        2
2.675        -2.43        -2.434        0.1880        1        2
2.708        -2.52        -2.522        0.1520        1        2
2.754        -2.65        -2.650        0.3080        1        2
2.790        -2.75        -2.750        0.0040        1        2
2.833        -2.88        -2.878        0.0400        1        2
2.864        -2.97        -2.970        0.1000        1        2
2.925        -3.16        -3.158        0.1120        1        2
2.982        -3.34        -3.342        0.0480        1        2
2.925        -3.10        -3.100        0.0210        1        3
2.975        -3.29        -3.288        0.0232        1        3
3.025        -3.47        -3.466        0.0253        1        3
3.075        -3.71        -3.709        0.0297        1        3
3.125        -3.85        -3.850        0.0310        1        3
3.175        -4.16        -4.161        0.0392        1        3
3.225        -4.35        -4.352        0.0433        1        3
3.275        -4.62        -4.625        0.0523        1        3
3.325        -5.00        -5.006        0.0707        1        3
3.375        -5.27        -5.270        0.0840        1        3
3.425        -6.01        -6.022        0.1604        1        3
3.475        -5.91        -5.915        0.1314        1        3
3.525        -5.96        -5.965        0.1249        1        3
3.575        -6.41        -6.434        0.1760        1        3
3.625        -6.51        -6.541        0.1760        1        3
3.675        -6.91        -6.995        0.2321        1        3
3.725        -6.53        -6.566        0.1486        1        3
3.775        -7.11        -7.250        0.2321        1        3
3.825        -6.61        -6.647        0.1314        1        3
3.875        -6.91        -6.995        0.1604        1        3
3.925        -6.81        -6.871        0.1314        1        3
3.975        -7.21        -7.390        0.1760        1        3
4.025        -7.13        -7.279        0.1486        1        3
4.075        -6.87        -6.967        0.1101        0.875    3
4.125        -6.91        -7.023        0.1063        0.8125   3
4.175        -7.13        -7.424        0.1315        0.66     3
4.225        -7.09        -7.456        0.1249        0.547    3
4.275        -6.94        -7.241        0.1063        0.4412   3
4.325        -6.84        -7.232        0.1028        0.3      3
4.375        -6.96        -8.401        0.1144        0.245    3
4.425        -6.89        -8.297        0.1028        0.21     3
4.475        -6.70        -7.244        0.0806        0.185    3
4.525        -6.64        -7.182        0.0728        0.16     3
4.575        -6.64        -7.342        0.0687        0.145    3
